Country,Date,int_perc,electricity_consumed,energy_consumed,population,GDP,continent,country_name
AGO,1998,0.0184537240759316,1.328,5.503247441339618,15359.6,67.2124,Africa,Angola
AGO,1999,0.0719640870420026,1.106,5.946264412077974,15866.9,68.6787,Africa,Angola
AGO,2000,0.105045562462262,1.19302,6.752911822204013,16395.5,70.7766,Africa,Angola
AGO,2001,0.136013867429868,1.35274,7.094573619555762,16945.8,73.7534,Africa,Angola
AGO,2002,0.270376745595134,1.45868,7.312659828399827,17519.4,83.8323,Africa,Angola
AGO,2003,0.370682065225727,1.64976,7.8454117321587145,18121.5,86.3388,Africa,Angola
AGO,2004,0.464814617985909,1.59608,8.381498845124181,18758.1,95.7954,Africa,Angola
AGO,2005,1.1433668265595,2.06798,6.887931407701192,19433.6,110.192,Africa,Angola
AGO,2006,1.90764750723428,2.85054,8.375992178335771,20149.9,122.917,Africa,Angola
AGO,2007,3.2,2.7178,9.279723788780894,20905.4,140.138,Africa,Angola
AGO,2008,4.6,3.64768,10.480210991589445,21695.6,155.786,Africa,Angola
AGO,2009,6.0,4.13154,11.491561140969964,22514.3,157.123,Africa,Angola
AGO,2010,10.0,4.69024,12.151704803709508,23356.2,164.043,Africa,Angola
AGO,2011,14.776,4.88636,12.284364739912554,24220.7,169.739,Africa,Angola
AGO,2012,16.9372101137398,5.33508,12.376183787509108,25107.9,184.238,Africa,Angola
AGO,2013,19.1,7.05006,13.36731054473051,26015.8,193.366,Africa,Angola
AGO,2014,21.26,8.14866,14.207058398288162,26941.8,202.691,Africa,Angola
ATG,1990,0.0,0.08277,95.44608279628356,62.533,1.16507,North America,Antigua and Barbuda
ATG,1991,0.0,0.08277,93.28069747399657,63.7608,1.19043,North America,Antigua and Barbuda
ATG,1992,0.0,0.08277,91.76333982883152,64.9886,1.20422,North America,Antigua and Barbuda
ATG,1993,0.0,0.08277,89.82143238684073,66.2164,1.26781,North America,Antigua and Barbuda
ATG,1994,0.0,0.08463,94.40721953110868,67.4442,1.35245,North America,Antigua and Barbuda
ATG,1995,2.20076880190146,0.08556,98.85294436597158,68.672,1.29349,North America,Antigua and Barbuda
ATG,1996,2.85844957694946,0.08556,97.04518152240551,70.139,1.37892,North America,Antigua and Barbuda
ATG,1997,3.48053683800189,0.08649,97.69271283830965,71.606,1.45437,North America,Antigua and Barbuda
ATG,1998,4.0717164999525,0.08835,95.73145204795205,73.073,1.52318,North America,Antigua and Barbuda
ATG,1999,5.30068113752617,0.08835,93.84764690099276,74.54,1.57965,North America,Antigua and Barbuda
ATG,2000,6.48222573702907,0.13113,95.9030369571223,76.007,1.67764,North America,Antigua and Barbuda
ATG,2001,8.89928551450583,0.14973,94.54593024462378,77.098,1.60134,North America,Antigua and Barbuda
ATG,2002,12.5,0.1674,99.94587397204202,78.189,1.6178,North America,Antigua and Barbuda
ATG,2003,17.2286487816884,0.18414,103.60462891019175,79.28,1.7161,North America,Antigua and Barbuda
ATG,2004,24.2665437161785,0.19344,105.99794838934433,80.371,1.81507,North America,Antigua and Barbuda
ATG,2005,27.0,0.21204,106.1777286342098,81.462,1.93258,North America,Antigua and Barbuda
ATG,2006,30.0,0.22599,107.69555086281461,82.7756,2.17817,North America,Antigua and Barbuda
ATG,2007,34.0,0.24459,111.10104591314933,84.0892,2.38108,North America,Antigua and Barbuda
ATG,2008,38.0,0.25203,111.90411883451115,85.4028,2.38073,North America,Antigua and Barbuda
ATG,2009,42.0,0.28644,115.46841388710779,86.7164,2.09593,North America,Antigua and Barbuda
ATG,2010,47.0,0.296856,109.98043121663058,88.03,1.9316,North America,Antigua and Barbuda
ATG,2011,52.0,0.296205,108.30774332441091,89.1382,1.89377,North America,Antigua and Barbuda
ATG,2012,58.0,0.288765,109.93692801042477,90.2464,1.95764,North America,Antigua and Barbuda
ATG,2013,63.4,0.288858,108.61389114505442,91.3546,1.94588,North America,Antigua and Barbuda
ATG,2014,64.0,0.294438,109.72148139576119,92.4628,2.01974,North America,Antigua and Barbuda
ARG,1990,0.0,37.105,57.6564031308632,32675.95,405.4487,South America,Argentina
ARG,1991,0.0,39.655,59.477102051605385,33131.9,448.3389,South America,Argentina
ARG,1992,0.00299287414623027,45.292,60.905945908832855,33579.75,491.409,South America,Argentina
ARG,1993,0.0295270652905125,48.407,64.94014374370029,34020.12,514.864,South America,Argentina
ARG,1994,0.0437059511392524,49.934,64.80172547868509,34453.77,544.914,South America,Argentina
ARG,1995,0.0862770809737151,54.938,66.0361446862161,34880.85,529.409,South America,Argentina
ARG,1996,0.14195470435477,57.928,67.66628138505591,35299.2,558.667,South America,Argentina
ARG,1997,0.280339881830012,62.78,68.76621183955005,35709.0,603.981,South America,Argentina
ARG,1998,0.830766679676473,67.908,71.03404036442687,36113.68,627.236,South America,Argentina
ARG,1999,3.28448195590463,70.43,69.95251999746884,36516.9,606.002,South America,Argentina
ARG,2000,7.0386830862178,73.23106,74.86106566246684,36921.7,601.221,South America,Argentina
ARG,2001,9.78080728532407,75.3974,72.67380878080921,37327.62,574.714,South America,Argentina
ARG,2002,10.8821243775325,72.47354,67.65413379114293,37732.75,512.102,South America,Argentina
ARG,2003,11.9136965509954,79.1129,72.57971983709034,38137.02,557.356,South America,Argentina
ARG,2004,16.0366841054923,83.65771,77.18214404431274,38540.62,583.43,South America,Argentina
ARG,2005,17.7205833696065,88.61302,80.26877897720736,38942.95,635.073,South America,Argentina
ARG,2006,20.9272021035896,97.92409,84.54451035331775,39341.35,686.179,South America,Argentina
ARG,2007,25.9466329403819,100.33261,85.13571690502835,39736.48,747.987,South America,Argentina
ARG,2008,28.1126234799907,103.75082,87.64610105799886,40132.93,778.335,South America,Argentina
ARG,2009,34.0,104.1911,84.87760298304948,40535.52,732.269,South America,Argentina
ARG,2010,45.0,111.18857,86.89885431356329,40948.95,806.414,South America,Argentina
ARG,2011,51.0,113.49629,87.8236621358519,41375.93,854.831,South America,Argentina
ARG,2012,55.8,117.57158,88.75141183859645,41813.05,846.057,South America,Argentina
ARG,2013,59.9,117.51303,89.07745893823675,42254.68,866.407,South America,Argentina
ARG,2014,64.7,123.37853,88.43054759782608,42694.98,844.638,South America,Argentina
ARM,1992,0.0,6.358,57.24214004284616,3442.82,8.17452,Europe,Armenia
ARM,1993,0.0,3.724,44.59780018143451,3363.11,7.45428,Europe,Armenia
ARM,1994,0.00911701414140063,3.273,40.83368781924952,3283.66,7.85138,Europe,Armenia
ARM,1995,0.0527431233050454,2.858,40.87873410493392,3217.35,8.39244,Europe,Armenia
ARM,1996,0.0945729024675962,3.486,53.14039132645684,3168.21,8.88759,Europe,Armenia
ARM,1997,0.111650934518322,4.281,45.28601809985015,3133.08,9.18275,Europe,Armenia
ARM,1998,0.128659477603923,3.671,48.504208696159225,3108.69,9.85678,Europe,Armenia
ARM,1999,0.970737757459877,3.88,30.168807997775716,3089.02,10.1776,Europe,Armenia
ARM,2000,1.30047002237784,3.69148,32.6515204092408,3069.6,10.7777,Europe,Armenia
ARM,2001,1.63109466677715,3.6946,32.30971514800363,3050.69,11.8077,Europe,Armenia
ARM,2002,1.9604050458212,3.44126,31.11986032261599,3033.98,13.5848,Europe,Armenia
ARM,2003,4.57521722477781,3.69574,34.4025129115537,3017.94,15.4922,Europe,Armenia
ARM,2004,4.8990085713054,4.19614,35.88643368311761,3000.72,17.1139,Europe,Armenia
ARM,2005,5.25298335195804,4.16382,41.842898937292205,2981.26,19.4868,Europe,Armenia
ARM,2006,5.63178777731609,4.43884,42.10325753642342,2958.3,22.0587,Europe,Armenia
ARM,2007,6.02125339712607,4.776465,47.65954560135239,2932.61,25.0916,Europe,Armenia
ARM,2008,6.21,4.55743,46.390730017467604,2907.61,26.8349,Europe,Armenia
ARM,2009,15.3,4.48976,41.72986206885524,2888.09,23.0378,Europe,Armenia
ARM,2010,25.0,4.63072,46.649521809380566,2877.31,23.5481,Europe,Armenia
ARM,2011,32.0,4.9886,49.12657666871326,2876.54,24.6432,Europe,Armenia
ARM,2012,37.5,5.04306,51.91738084922347,2884.24,26.409,Europe,Armenia
ARM,2013,41.9,5.19162,50.69903785451197,2897.59,27.2805,Europe,Armenia
ARM,2014,46.3,5.29666,51.41417723263585,2912.4,28.2626,Europe,Armenia
AUS,1990,0.585094712206538,135.404,229.71554350180548,17092.82,514.715,Oceania,Australia
AUS,1991,1.09720389137797,137.996,225.13827546859972,17309.1,509.563,Oceania,Australia
AUS,1992,1.76876491254256,140.1334,226.76871503114893,17497.62,522.613,Oceania,Australia
AUS,1993,1.97461101573426,143.988,226.96463795198477,17655.47,542.997,Oceania,Australia
AUS,1994,2.23210125436278,147.502,229.58746780239605,17827.45,569.602,Oceania,Australia
AUS,1995,2.75965451333217,152.334,235.91613920633225,18029.93,585.767,Oceania,Australia
AUS,1996,3.27524987017728,156.54566,242.677622868257,18246.45,610.142,Oceania,Australia
AUS,1997,16.3693583751403,161.721,245.1552122234837,18442.8,638.01,Oceania,Australia
AUS,1998,30.8132394396276,172.088,253.9623982659894,18630.45,668.056,Oceania,Australia
AUS,1999,40.7837839021856,176.177,257.903582071684,18836.07,697.832,Oceania,Australia
AUS,2000,46.7561156116738,182.96956,254.12660014643328,19057.72,718.934,Oceania,Australia
AUS,2001,52.6892664310395,193.37082,254.09346436051834,19299.15,737.723,Oceania,Australia
AUS,2002,52.6892664310395,199.56076,259.4906651240529,19521.48,768.239,Oceania,Australia
AUS,2003,52.6892664310395,200.58156,256.62543421939216,19744.05,789.598,Oceania,Australia
AUS,2004,52.6892664310395,205.16246,261.2036373593661,19960.65,822.151,Oceania,Australia
AUS,2005,63.0,200.1373,264.839684098963,20206.75,847.037,Oceania,Australia
AUS,2006,66.0,204.13084,265.42893292132146,20495.62,869.956,Oceania,Australia
